Title,URL,Procesado,Nota,Votos,Año,Reparto,Director,Compañias,Coproduccion,Generos,Premios
El verdugo,https://www.filmaffinity.com/es/film411856.html,Sí,8.2,41447.0,1963.0,"José Isbert, Nino Manfredi, Emma Penella, José Luis López Vázquez, Ángel Álvarez, María Luisa Ponte, María Isbert, Julia Caba Alba, Guido Alberti, Erasmo Pascual, Xan das Bolas, José Orjas, José María Prada",Luis García Berlanga,"Naga Films, Zabra Films",España-Italia;Naga,"Comedia, Sátira, Comedia negra, Película de culto",1963: Festival de Venecia: Premios FIPRESCI
Los santos inocentes,https://www.filmaffinity.com/es/film879812.html,Sí,8.1,44470.0,1984.0,"Alfredo Landa, Francisco Rabal, Juan Diego, Terele Pávez, Agustín González, Manuel Zarzo, Belén Ballesteros, Juan Sanchez, Ágata Lys, Mary Carrillo, José Guardiola, Maribel Martín",Mario Camus,"Ganesh, RTVE",No se encontró información de coproducción,"Drama, Drama social, Vida rural, Años 60, Caza","1984: Cannes: Mejor Actor (ex aequo: Francisco Rabal y Alfredo Landa), 
1985: Círculo de Escritores Cinematográficos, España: Mejor Película, 
1986: Premios ACE: Mejor Actor (Alfredo Landa)"
Plácido,https://www.filmaffinity.com/es/film895672.html,Sí,8.1,20396.0,1961.0,"Cassen, José Luis López Vázquez, Elvira Quintilla, Amelia de la Torre, Julia Caba Alba, Amparo Soler Leal, Manuel Alexandre, Mari Carmen Yepes, Agustín González, Luis Ciges, Antonio Ferrandis, José Orjas, Xan das Bolas",Luis García Berlanga,"Jet Films, Alfredo Matas",Films.Productor:Alfredo,"Comedia, Pobreza, Navidad, Sátira","1961: Nominada al Oscar: Mejor película de habla no inglesa, 
1962: Festival de Cannes: Nominada a la Palma de Oro (mejor película)"
Viridiana,https://www.filmaffinity.com/es/film123112.html,Sí,8.1,28771.0,1961.0,"Silvia Pinal, Fernando Rey, Francisco Rabal, Margarita Lozano, José Calvo, Lola Gaos, Luis Heredia, Victoria Zinny, Joaquín Roa, José Manuel Martín, Juan García Tienda, Sergio Mendizábal, María Isbert, Teresa Rabal",Luis Buñuel,"Films 59, Uninci",España-México;Films,"Drama, Religión, Película de culto",1961: Festival de Cannes: Palma de Oro (ex-aequo)
"Bienvenido, Míster Marshall",https://www.filmaffinity.com/es/film435869.html,Sí,8.0,31421.0,1953.0,"José Isbert, Lolita Sevilla, Manolo Morán, Alberto Romea, Elvira Quintilla, Luis Pérez de León, Félix Fernández, Fernando Aguirre, Joaquín Roa, Nicolás Perchicot, José Franco, Rafael Alonso, José María Rodríguez",Luis García Berlanga,Uninci,No se encontró información de coproducción,"Comedia, Sátira",1953: Festival de Cannes: Premio Internacional (Comedia) y mención especial (guion)
Calle Mayor,https://www.filmaffinity.com/es/film751438.html,Sí,8.0,9291.0,1956.0,"Betsy Blair, José Suárez, Yves Massard, Luis Peña, Dora Doll, Alfonso Godá, Manuel Alexandre",Juan Antonio Bardem,"Suevia Films, Play Art, Iberia Films",España-Francia;Suevia,Drama,1956: Festival de Venecia: Premio FIPRESCI. Nominada al León de Oro
El extraño viaje,https://www.filmaffinity.com/es/film771720.html,Sí,7.8,10195.0,1964.0,"Carlos Larrañaga, Tota Alba, Lina Canalejas, Jesús Franco, Rafaela Aparicio, Sara Lezana, María Luisa Ponte, Teresa Gisbert, Luis Marín, Goyo Lebrero, Luis Domínguez Luna, Cayetano Torregrosa, Rafael Alcántara",Fernando Fernán Gómez,"Ízaro Films, Pro Artis Ibérica","Films,Pro","Intriga, Drama, Comedia negra, Vida rural, Familia, Película de culto",
El mundo sigue,https://www.filmaffinity.com/es/film505862.html,Sí,7.8,5052.0,1965.0,"Lina Canalejas, Fernando Fernán Gómez, Gemma Cuervo, Milagros Leal, Francisco Pierrá, Agustín González, José Morales, José Calvo, Fernando Guillén, María Luisa Ponte, Jacinto San Emeterio, Pilar Bardem, José María Caffarel",Fernando Fernán Gómez,Ada Films,Films,"Drama, Familia, Melodrama, Pobreza",
Muerte de un ciclista,https://www.filmaffinity.com/es/film406123.html,Sí,7.8,11995.0,1955.0,"Lucía Bosé, Alberto Closas, Bruna Corrà, Carlos Casaravilla, Otello Toso, Alicia Romay, Julia Delgado Caro, Matilde Muñoz Sampedro, Mercedes Albert, José Sepúlveda, José Prada, Fernando Sancho, Manuel Alexandre",Juan Antonio Bardem,"Trionfalcine, Guión Producciones Cinematográficas","España-Italia;Trionfalcine,Guión","Cine negro, Drama, Crimen, Drama psicológico, Melodrama, Drama romántico",1955: Festival de Cannes: Premio de la Crítica Internacional (FIPRESCI)
El Sur,https://www.filmaffinity.com/es/film725860.html,Sí,7.7,15610.0,1983.0,"Omero Antonutti, Sonsoles Aranguren, Icíar Bollaín, Lola Cardona, Rafaela Aparicio, Germaine Montero, Aurore Clément, María Caro, Francisco Merino, José Vivó",Víctor Erice,"Chloe Productions, RTVE, Elías Querejeta P.C.",España-Francia;Chloe,"Drama, Familia, Infancia, Adolescencia, Posguerra española, Vida rural","1983: Festival de Cannes: Nominada a la Palma de Oro (mejor película), 
1983: Festival de Chicago: Hugo de Oro - Mejor película"
Tesis,https://www.filmaffinity.com/es/film531662.html,Sí,7.7,96364.0,1996.0,"Ana Torrent, Fele Martínez, Eduardo Noriega, Nieves Herranz, Rosa Campillo, Miguel Picazo, Xabier Elorriaga, Rosa Ávila, Paco Hernández, Julio Vélez, Joserra Cadiñanos, Pilar Ortega, Olga Margallo, Emiliano Otegui, Walter Prieto, José Luis Cuerda",Alejandro Amenábar,"Las Producciones del Escorpión, Sogepaq",Producciones,"Intriga, Thriller, Cine dentro del cine, Colegios & Universidad, Asesinos en serie, Secuestros / Desapariciones, Película de culto","1996: 7 Premios Goya: incluyendo mejor película, dirección novel y guión original, 
1996: Premios Forqué: Mejor película "
Celda 211,https://www.filmaffinity.com/es/film270489.html,Sí,7.7,120975.0,2009.0,"Luis Tosar, Alberto Ammann, Antonio Resines, Carlos Bardem, Marta Etura, Vicente Romero, Manuel Morón, Manolo Solo, Fernando Soto, Luis Zahera, Patxi Bisquert, Félix Cubero, Josean Bengoetxea, Juan Carlos Mangas, Jesús Carroza",Daniel Monzón,"La Fabrique de Films, Morena Films, Telecinco Cinema, Vaca Films",España-Francia;La,"Thriller, Drama, Drama carcelario, ETA","2009: 8 Premios Goya, incluyendo Mejor película, Director y Actor (Tosar). 16 nom., 
2009: Premios Forqué: Mejor película y Mejor actor (Luis Tosar), 
2010: Premios del Cine Europeo: 2 Nominaciones: Mejor guión y Actor (Luis Tosar), 
"
El viaje a ninguna parte,https://www.filmaffinity.com/es/film372761.html,Sí,7.7,12388.0,1986.0,"José Sacristán, Fernando Fernán Gómez, Juan Diego, María Luisa Ponte, Nuria Gallardo, Gabino Diego, Laura del Sol, Agustín González, Óscar Ladoire, Queta Claver, Simón Andreu, Carlos Lemos, Carmelo Gómez",Fernando Fernán Gómez,"Ganesh, RTVE",No se encontró información de coproducción,"Drama, Comedia, Comedia dramática, Años 40, Posguerra española, Teatro, Cine dentro del cine","1986: 3 Premios Goya: Mejor película, dirección y guión"
Surcos,https://www.filmaffinity.com/es/film323900.html,Sí,7.7,4790.0,1951.0,"Luis Peña, María Asquerino, Francisco Arenzana, Marisa de Leza, Félix Dafauce, Francisco Bernal, Félix Briones, Rafael Calvo Revilla, José Prada, Chano Conde, Casimiro Hurtado, Montserrat Carulla, Ramón Elías, Pilar Sirvent, Marujita Díaz",José Antonio Nieves Conde,Atenea Films,Films,"Drama, Vida rural, Años 40, Posguerra española, Neorrealismo",1952: Festival de Cannes: Nominada a la Palma de Oro (mejor película)
As bestas,https://www.filmaffinity.com/es/film227540.html,Sí,7.7,31583.0,2022.0,"Marina Foïs, Denis Ménochet, Luis Zahera, Diego Anido, Marie Colomb, Luisa Merelas, José Manuel Fernández y Blanco, Xavier Estévez, Gonzalo García, Federico Pérez, Javier Varela, Pepo Suevos, Machi Salgado, Emile Duthu",Rodrigo Sorogoyen,"Arcadia Motion Pictures, Caballo Films, Cronos Entertainment AIE, Le Pacte, RTVE, Movistar Plus+, Canal+, Ciné+",España-Francia;Arcadia,"Thriller, Drama, Vida rural","2022: 9 Premios Goya, incluyendo Mejor película, dirección, guion y actor, 
2022: Premios César: Mejor película extranjera, 
2022: Festival de San Sebastián: Premio del Público - Mejor film europeo, 
2022: Festival de Tokio: Mejor película, director y actor (Menochet), 
2022: Premios Feroz: Mejor película drama, actor de reparto (Zahera) y música, 
2023: Premios Platino: 4 premios, incluyendo Mejor dirección. 6 nominaciones"
Campanadas a medianoche,https://www.filmaffinity.com/es/film926968.html,Sí,7.6,5505.0,1965.0,"Orson Welles, Keith Baxter, John Gielgud, Jeanne Moreau, Margaret Rutherford, Marina Vlady, Norman Rodway, Alan Webb, Fernando Rey, Walter Chiari, Andrew Faulds, Michael Aldridge, Julio Peña",Orson Welles,"Alpine Films, Internacional Films",España-Suiza-Francia;Alpine,"Drama, Comedia, Bélico, Edad Media, Siglo XV, Amistad, Histórico","1966: Festival de Cannes: Premio técnico, 
1967: Premios BAFTA: Nominada a Mejor actor extranjero (Orson Welles)"
El espíritu de la colmena,https://www.filmaffinity.com/es/film855997.html,Sí,7.6,19661.0,1973.0,"Ana Torrent, Fernando Fernán Gómez, Isabel Tellería, Laly Soldevila, Teresa Gimpera, José Villasante",Víctor Erice,"Elías Querejeta, CB Films","Querejeta,CB","Drama, Años 40, Posguerra española, Vida rural, Infancia",1973: Festival de San Sebastián: Concha de Oro (Mejor película)
Solas,https://www.filmaffinity.com/es/film145642.html,Sí,7.6,26000.0,1999.0,"María Galiana, Ana Fernández, Carlos Álvarez-Novoa, Antonio Dechent, Paco de Osca, Juan Fernández, Miguel Alcíbar, Pilar Sánchez, Concha Galán, Paco Tous",Benito Zambrano,Maestranza Films,Films,"Drama, Drama social, Alcoholismo","1999: Festival de Berlín: Premio del Público, 
1999: 5 Goyas: incluyendo mejor dirección novel y guión original. 11 nominaciones, 
1999: Premios Forqué: Mejor película, 
2000: Premios Ariel: Mejor película iberoamericana"
El cochecito,https://www.filmaffinity.com/es/film378517.html,Sí,7.6,6688.0,1960.0,"José Isbert, Pedro Porcel, María Luisa Ponte, José Luis López Vázquez, Antonio Riquelme, Chus Lampreave, Antonio Gavilán",Marco Ferreri,Films 59,59,"Comedia, Vejez / Madurez, Sátira, Comedia negra",1960: Venecia: Premio de la crítica
Los peces rojos,https://www.filmaffinity.com/es/film934719.html,Sí,7.6,2304.0,1955.0,"Emma Penella, Arturo de Córdova, Pilar Soler, Manuel de Juan, Félix Dafauce, Félix Acaso, Montserrat Blanch, Julio Gorostegui, María Rivas, Ángel Álvarez, Luis Roses",José Antonio Nieves Conde,"Estela Films, Yago Films","Films,Yago","Intriga, Cine negro, Melodrama",
Klaus,https://www.filmaffinity.com/es/film148968.html,Sí,7.6,17897.0,2019.0,"Quim Gutiérrez, Luis Tosar, Belén Cuesta",Sergio Pablos,"Atresmedia Cine, The SPA Studios, Netflix",España-Reino,"Animación, Fantástico, Comedia, Drama, Navidad, Amistad, Vida rural, Zonas frías/polares, Cine familiar","2020: Premios del Cine Europeo: Nominada a mejor film de animación, 
2019: Premios Oscar: Nominada a mejor largometraje animación, 
2019: Premios BAFTA: Mejor película de animación, 
2019: Premios Goya: Nominada a mejor film de animación y canción, 
2019: Premios Annie: 7 premios incluyendo mejor película y dirección, 
2019: Círculo de Críticos de San Francisco: Nominada a mejor película de animación"
Arrugas,https://www.filmaffinity.com/es/film189008.html,Sí,7.6,17206.0,2011.0,"Tacho González, Álvaro Guevara, Mabel Rivera, Raúl Dans, Montse Davila, Chelo Díaz, Isabel Vallejo",Ignacio Ferreras,"Perro Verde Films, Cromosoma TV produccions",Verde,"Animación, Drama, Comedia, Alzheimer, Vejez / Madurez, Familia, Discapacidad, Amistad, Animación para adultos, Comedia dramática, Cómic, Drama social","2012: Premios del Cine Europeo: Nominada a Mejor película de animación, 
2012: Festival de Annecy: Distinción especial (2º mejor largometraje), 
2011: 2 Premios Goya: Mejor película de animación y mejor guión adaptado, 
2011: Premios Annie: Nominada a Mejor película, 
2011: Premios Gaudí: Nominada a Mejor película de animación, 
2014: Satellite Awards: Nominada a Mejor largometraje animación"
Mi vida sin mí,https://www.filmaffinity.com/es/film957793.html,Sí,7.6,58810.0,2003.0,"Sarah Polley, Scott Speedman, Mark Ruffalo, Amanda Plummer, Leonor Watling, Deborah Harry, María de Medeiros, Alfred Molina",Isabel Coixet,"El Deseo, Milestone Entertainment, Antena 3 Televisión, Vía Digital",España-Canadá;El,"Drama, Romance, Drama romántico, Enfermedad","2003: 2 Premios Goya: Mejor guion adaptado y mejor canción. 5 nominaciones, 
2003: Festival de Berlín: Sección oficial de largometrajes, 
2003: Premios del Cine Europeo: Nominada a mejor película y dirección, 
2003: Premios Forqué: Nominada a mejor película, 
"
Tristana,https://www.filmaffinity.com/es/film923216.html,Sí,7.6,8354.0,1970.0,"Catherine Deneuve, Fernando Rey, Franco Nero, Lola Gaos, Antonio Casas, Jesús Fernández, José Calvo, Vicente Solar",Luis Buñuel,"Época Films, Talia Films",España-Francia-Italia;Época,"Drama, Años 20, Drama psicológico, Sátira","1970: Nominada al Oscar: Mejor película de habla no inglesa, 
1970: Festival de Cannes: Sección oficial largometrajes (fuera de concurso)"
La lengua de las mariposas,https://www.filmaffinity.com/es/film545489.html,Sí,7.5,47567.0,1999.0,"Fernando Fernán Gómez, Manuel Lozano, Uxía Blanco, Gonzalo Uriarte, Jesús Castejón, Guillermo Toledo, Celso Bugallo, Tamar Novas, Elena Fernández, Alexis de los Santos, Tatán, Roberto Vidal Bolaño, Celso Parada",José Luis Cuerda,"Sogetel, Las Producciones del Escorpión, Canal+ España, RTVE",Producciones,"Drama, Años 30, Infancia, Enseñanza, Colegios & Universidad","1999: Premios Goya: Mejor guión adaptado. 13 nominaciones, 
1999: Premios Forqué: Nominada a mejor película, 1999: Festival de San Sebastián. 1 nominación, 2000: Premios del Cine Europeo (EFA). 1 nominación, 2000: Asociación de Críticos Norteamericanos (NBR). 1 nominación"
La caza,https://www.filmaffinity.com/es/film399542.html,Sí,7.5,8194.0,1966.0,"Ismael Merlo, Alfredo Mayo, José María Prada, Emilio Gutiérrez Caba, Fernando Sánchez Polack, Violeta García, María Sánchez Aroca",Carlos Saura,Elías Querejeta P.C.,Querejeta,"Drama, Caza, Amistad","1966: Festival de Berlín: Oso de Plata - Mejor Director, 1967: Asociación de Críticos Norteamericanos (NBR). 1 nominación"
Calabuch,https://www.filmaffinity.com/es/film667409.html,Sí,7.5,7402.0,1956.0,"Edmund Gwenn, Valentina Cortese, Franco Fabrizi, Juan Calvo, Félix Fernández, José Luis Ozores, José Isbert, Francisco Bernal, Manuel Alexandre, Pedro Beltrán, Manuel Beringola",Luis García Berlanga,"Águila Films, Films Costellazione",España-Italia;Águila,"Comedia, Drama, Vida rural, Comedia dramática",1956: Festival de Venecia: Premio OCIC
La sociedad de la nieve,https://www.filmaffinity.com/es/film484144.html,Sí,7.5,294.0,2023.0,"Enzo Vogrincic, Agustín Pardella, Matías Recalt, Esteban Bigliardi, Diego Vegezzi, Fernando Contigiani García, Esteban Kukuriczka, Rafael Federman, Francisco Romero, Valentino Alonso, Agustín Della Corte, Tomas Wolf, Felipe González Otaño",J.A. Bayona,"Apaches Entertainment, Telecinco Cinema, Benegas Brothers Productions, Cimarrón Cine, El Arriero Films, Belén Atienza, Sandra Hermida, Netflix","Entertainment,Telecinco","Aventuras, Drama, Basado en hechos reales, Supervivencia, Naturaleza, Años 70, Zonas frías/polares","2023: Festival de San Sebastián: Premio del Público (mejor película), 
2023: Festival de Sitges: Sección oficial largometrajes (fuera de concurso)"
Mi tío Jacinto,https://www.filmaffinity.com/es/film736750.html,Sí,7.5,1991.0,1956.0,"Pablito Calvo, Antonio Vico, José Marco Davó, Juan Calvo, Mariano Azaña, Julio Sanjuán, Miguel Gila, José Isbert, Paolo Stoppa, Adriano Domínguez, Pastora Peña, Luis Sánchez Polack, José María Lado, Rafael Bardem, Carlo Campanini, Walter Chiari",Ladislao Vajda,"Chamartín, Falco Film, Ente Nazionale Industrie Cinematografiche (ENIC)","España-Italia;Chamartín,Falco","Drama, Pobreza, Infancia, Toros","1956: Festival de Berlín: Oso de Plata (Premio del Público), 
1956: Fotogramas de Plata: Mejor intérprete español (Pablito Calvo), 
1956: Sindicato Nacional del Espectáculo: Mejor fotografía"
"Amanece, que no es poco",https://www.filmaffinity.com/es/film567541.html,Sí,7.5,40021.0,1989.0,"Antonio Resines, José Sazatornil, Cassen, Luis Ciges, Aurora Bautista, Enrique San Francisco, Pastora Vega, Chus Lampreave, Manuel Alexandre, María Isbert, Miguel Rellán, Guillermo Montesinos, Rafael Alonso",José Luis Cuerda,"Compañía de Aventuras Comerciales, RTVE",de,"Comedia, Comedia absurda, Surrealismo, Película de culto","1989: Premios Goya: Nominada a mejor guion original, sonido y efectos especiales"
Los otros,https://www.filmaffinity.com/es/film370368.html,Sí,7.5,150267.0,2001.0,"Nicole Kidman, Fionnula Flanagan, Christopher Eccleston, Alakina Mann, James Bentley, Eric Sykes, Elaine Cassidy, Renée Asherson, Michelle Fairley",Alejandro Amenábar,"Cruise-Wagner Productions, Sogecine, Canal+ España, Sogepaq, Dimension Films, Las Producciones del Escorpión, Miramax",España-Estados,"Intriga, Terror, Sobrenatural, Casas encantadas, Fantasmas, Años 40","2001: 8 Premios Goya: Incluyendo película, director, fotografía y guion original, 
2001: Globos de Oro: Nominada mejor actriz principal - Drama (Kidman), 
2001: Premios BAFTA: 2 nominaciones, a mejor actriz (Kidman) y guion original, 
2001: Premios del Cine Europeo: Nominada a mejor película, 
2001: Festival de Venecia: Nominada a León de Oro, 
2001: Festival de Gante: Premio FIPRESCI; nominada a Gran Premio"
La tía Tula,https://www.filmaffinity.com/es/film884494.html,Sí,7.4,3510.0,1964.0,"Aurora Bautista, Carlos Estrada, Enriqueta Carballeira, Emilia Zambrano, Laly Soldevila, Paloma Lorena, Coral Pellicer, Montserrat Julió, Lola Gaos, Juana Azorín, Lola Marquerie, Irene Gutiérrez Caba, Margarita Calahorra",Miguel Picazo,Surco Films,Films,"Drama, Familia","1964: Festival de San Sebastián: Mejor película española. Mejor director, 
1966: National Board of Review: Mejores películas extranjeras, 1965: Asociación de Críticos Norteamericanos (NBR). 1 nominación"
Te estoy amando locamente,https://www.filmaffinity.com/es/film663650.html,Sí,7.4,1802.0,2023.0,"Ana Wagener, Omar Banana, Alba Flores, Jesús Carroza, Carmen Orellana, Lola Buzón, Mari Paz Sayago, La Dani, Pepa Gracia, Carlos Bernardino, Alicia Moruno, Ignacio de la Puerta, Eloína Marcos",Alejandro Marin,"Escándalo Films, ESCAC Films, Zeta Studios, La Pepa Films","Films,ESCAC","Drama, Homosexualidad, Años 70",
Los lunes al sol,https://www.filmaffinity.com/es/film487418.html,Sí,7.4,61456.0,2002.0,"Javier Bardem, Luis Tosar, José Ángel Egido, Nieve de Medina, Enrique Villén, Celso Bugallo, Joaquín Climent, Aida Folch, Serge Riaboukine, Luis Zahera, Laura Domínguez, Fernando Tejero, Pepo Oliva",Fernando León de Aranoa,"Mediapro, Eyescreen, Quo Vadis Cinéma, Sogepaq, Elías Querejeta P.C.","España-Italia-Francia;Mediapro,Eyescreen,Quo","Drama, Drama social, Trabajo/empleo","2002: Festival de San Sebastián: Concha de Oro - Mejor película, 
2002: 5 Premios Goyas: película, director, actor (Bardem), actor sec. (Tosar) y actor rev. (Egido), 
2002: Premios Forqué: Mejor película , 
2003: Premios del Cine Europeo: 3 nominaciones, 
2003: Premios David di Donatello: Nominada a mejor film de la Unión Europea, 
2003: Premios Ariel: Mejor película iberoamericana"
Te doy mis ojos,https://www.filmaffinity.com/es/film942734.html,Sí,7.4,42867.0,2003.0,"Laia Marull, Luis Tosar, Candela Peña, Rosa María Sardà, Kiti Mánver, Elisabet Gelabert, Sergi Calleja, Nicolás Fernández Luna, Chus Gutiérrez, Elena Irureta, Dave Mooney, Antonio de la Torre, Francesc Garrido, Roberto Álamo",Icíar Bollaín,"Producciones La Iguana S.L, Alta Producción",La,"Drama, Drama social, Celos, Familia","2003: Festival de San Sebastián: Concha de Plata mejor actor (Tosar) y actriz (Marull), 
2003: 7 Premios Goya: incluyendo Mejor película, dirección, actriz y actor, 
2003: Premios Forqué: Mejor película, 
2004: Premios Ariel: Nominada a Mejor película iberoamericana, 
2004: Premios del Cine Europeo: 2 nominaciones"
Atraco a las tres,https://www.filmaffinity.com/es/film625647.html,Sí,7.4,11530.0,1962.0,"José Luis López Vázquez, Cassen, Gracita Morales, Manuel Alexandre, Alfredo Landa, Katia Loritz, Manuel Díaz González, Agustín González, José Orjas, Lola Gaos, Rafaela Aparicio",José María Forqué,"Hesperia Films, Pedro Masó Producciones Cinematográficas","Films,Pedro","Comedia, Robos & Atracos",
El bosque animado,https://www.filmaffinity.com/es/film962541.html,Sí,7.4,12107.0,1987.0,"Alfredo Landa, Tito Valverde, Miguel Rellán, Fernando Rey, Alejandra Grepi, Manuel Alexandre, Encarna Paso, Amparo Baró, Alicia Hermida, María Isbert, Luis Ciges, Paca Gabaldón, Antonio Gamero, Alicia Agut, Alicia Sánchez, Marisa Porcel",José Luis Cuerda,Classic Films Producción,Films,"Comedia, Fantástico","1987: Goya: 5 premios, Película, Actor (Landa), Guión, Música y Diseño vestuario, 
1988: Premios del Cine Europeo: Nominada a Mejor película y actor (Landa)"
Los amantes del círculo polar,https://www.filmaffinity.com/es/film455161.html,Sí,7.4,53175.0,1998.0,"Fele Martínez, Najwa Nimri, Nancho Novo, Maru Valdivielso, Jaroslaw Bielski, Peru Medem, Sara Valiente, Victor Hugo Oliveira, Kristel Díaz, Pep Munné, Rosa Morales, Joost Siedhoff, Beate Jensen",Julio Medem,"Alicia Produce, Bailando en la luna, Sogetel, Canal+ España, Sogepaq","Produce,Bailando","Romance, Drama, Drama romántico","1998: Premios Goya: Mejor música original y montaje. 4 nominaciones, 
1998: Festival de Venecia: Sección oficial, 
1998: Premios Forqué: Nominada a Mejor película"
Cría cuervos...,https://www.filmaffinity.com/es/film641823.html,Sí,7.4,7384.0,1976.0,"Ana Torrent, Geraldine Chaplin, Mónica Randall, Mayte Sánchez, Florinda Chico, Germán Cobos, Héctor Alterio, Josefina Díaz, Conchita Pérez, Mirta Miller",Carlos Saura,Elías Querejeta P.C.,Querejeta,"Drama, Infancia, Familia, Drama psicológico","1976: Cannes: Premio Especial del Jurado (ex aequo con ""La marquesa de O""), 
1976: Premios César: Nominada a Mejor Película Extranjera, 
1977: Globos de oro: Nominada Mejor película extranjera, 1977: Asociación de Críticos Norteamericanos (NBR). 1 nominación"
Robot Dreams,https://www.filmaffinity.com/es/film399287.html,Sí,7.3,231.0,2023.0,No se encontró información de reparto,Pablo Berger,"Arcadia Motion Pictures, Noodles Production, Les Films du Worso, RTVE, Movistar Plus+",España-Francia;Arcadia,"Animación, Drama, Romance, Años 80, Robots",", 2023: Festival de Sitges. 2 nominaciones, 2023: Festival de Sevilla. 1 nominación, 2023: Festival de Annecy. 1 premio. "
Nunca pasa nada,https://www.filmaffinity.com/es/film749076.html,Sí,7.3,1372.0,1963.0,"Corinne Marchand, Antonio Casas, Jean-Pierre Cassel, Julia Gutiérrez Caba, María Luisa Ponte, Alfonso Godá, José Franco, Rafael Bardem, Tota Alba, Matilde Muñoz Sampedro, Ana María Ventura, Josefina Serratosa, Carmen Sánchez, Pilar Gómez Ferrer",Juan Antonio Bardem,"Cocinor, Les Films Marceau, Cesáreo González P.C","España-Francia;Cocinor,Les","Drama, Romance, Vida rural, Drama romántico",1963: Festival de Venecia: Sección Oficial
El pisito,https://www.filmaffinity.com/es/film717826.html,Sí,7.3,6641.0,1958.0,"Mary Carrillo, José Luis López Vázquez, Concha López Silva, Celia Conde, José Cordero, Ángel Álvarez, María Luisa Ponte, Andrea Moro, Chus Lampreave",Marco Ferreri,Documento Films,Films,"Comedia, Comedia negra",
Furtivos,https://www.filmaffinity.com/es/film924966.html,Sí,7.3,5790.0,1975.0,"Lola Gaos, Ovidi Montllor, Alicia Sánchez, Ismael Merlo, José Luis Borau, Felipe Solano, Antonio Gamero",José Luis Borau,El Imán,Imán,"Drama, Vida rural, Caza",1975: Festival de San Sebastián: Concha de Oro - mejor película 
Abre los ojos,https://www.filmaffinity.com/es/film581441.html,Sí,7.3,71890.0,1997.0,"Eduardo Noriega, Penélope Cruz, Chete Lera, Fele Martínez, Najwa Nimri, Gerard Barray, Pedro Miguel Martínez, Jorge de Juan, Miguel Palenzuela, Ion Gabella, Joserra Cadiñanos, Tristán Ulloa, Pepe Navarro, Walter Prieto",Alejandro Amenábar,"Las Producciones del Escorpión, Sogetel, Les Films Alain Sarde, Lucky Red",España-Francia-Italia;Las,"Intriga, Thriller, Ciencia ficción, Drama, Drama psicológico, Película de culto","1998: Premios Goya: 10 nominaciones incluyendo mejor película y dirección, 
1998: Festival de Berlín (Sección Panorama): Mención especial a la dirección, 
1998: Festival de Tokyo: Mejor película - Tokyo Grand Prix"
Un día más con vida,https://www.filmaffinity.com/es/film588749.html,Sí,7.3,4281.0,2018.0,"Miroslaw Haniszewski, Vergil J. Smith, Tomasz Zietek, Olga Boladz, Rafal Fudalej, Pawel Paczesny, Jakub Kamienski",Raúl de la Fuente,"Platige Image, Kanaki Films, Puppetworks Animation Studio, Animationsfabrik, Umedia, Walking The Dog, Wüste Film West GmbH, Eurimages, Programme MEDIA de la Communauté Européenne, Polski Instytut Sztuki Filmowej",España-Polonia-Alemania-Bélgica-Hungría;Platige,"Animación, Drama, Animación para adultos, Colonialismo, Años 70, Periodismo, África, Basado en hechos reales","2018: Premios del Cine Europeo: Mejor film de animación, 
2018: Premios Goya: Mejor película de animación, 
2018: Festival de San Sebastián: Premio del público, 
2019: Premios Platino: Mejor película de animación, 2019: Premios Quirino. 1 nominación"
Cerrar los ojos,https://www.filmaffinity.com/es/film792411.html,Sí,7.3,2070.0,2023.0,"Manolo Solo, José Coronado, Ana Torrent, Soledad Villamil, Helena Miquel, Mario Pardo, Josep Maria Pou, María León, Petra Martínez, Juan Margallo, Dani Téllez, Antonio Dechent, Venecia Franco, Rocío Molina",Víctor Erice,"Tandem Films, Pampa Films, Pecado Films, Nautilus Films, Movistar Plus+, Canal Sur, RTVE",España-Argentina;Tandem,"Drama, Cine dentro del cine","2023: Festival de Cannes: Sección ""Cannes Premiere"" (Fuera de concurso)"
La trinchera infinita,https://www.filmaffinity.com/es/film565820.html,Sí,7.3,22925.0,2019.0,"Antonio de la Torre, Belén Cuesta, Vicente Vergara, José Manuel Poga, Emilio Palacios, José María del Castillo, Carlos Bernardino, Adrián Fernández, Nacho Fortes, Marco Cáceres, Joaquín Gómez, Esperanza Guardado, Óscar Corrales, Enrique Asenjo, Estefanía Rueda",Jon Garaño,"La Claqueta PC, Manny Films, Irusoin, Moriarti Produkzioak",España-Francia;La,"Drama, Basado en hechos reales, Guerra Civil Española, Posguerra española, Años 30, Años 40","2020: Premios del Cine Europeo (EFA): Mejor maquillaje y peluquería, 
2020: Premios Platino: 8 nominaciones incluyendo mejor película, director y guion, 
2019: Premios Goya: Mejor actriz (Belén Cuesta) y sonido. 15 nominaciones, 
2019: Festival de San Sebastián: 4 premios, incluyendo Mejor dirección y guion, 
2019: Premios Feroz: Mejor actriz (Belén Cuesta). 6 nominaciones, 
2019: Premios Forqué: Mejor película. 3 nominaciones"
